NAME|POSICAO|TAMANHO
Wise Man's Grandchild|12466|81
Bungo Stray Dogs|12547|90
Nagi no Asukara (Nagi-Asu: A Lull in the Sea)|12637|101
Kokoro Connect|12738|62
GAMERS!|12800|55
Monthly Girls' Nozaki-kun|12855|58
Captain Harlock|12913|46
Beyond the Boundary|12959|73
Orange|13032|60
Yonna in the Solitary Fortress|13092|65
AMNESIA|13157|46
Chance Pop Session|13203|41
Akashic Records of Bastard Magic Instructor|13244|86
MEGALOBOX|13330|49
The Melody of Oblivion|13379|68
STRIKE THE BLOOD|13447|69
Canvas 2: Niji Iro no Sketch|13516|51
A Place Further Than the Universe|13567|83
King's Game|13650|67
Keijo!!!!!!!!|13717|45
Polar Bear Cafe|13762|55
Mobile Suit GUNDAM Iron Blooded Orphans|13817|79
Upotte!!|13896|40
Blast of Tempest|13936|77
Yamada-kun and the Seven Witches|14013|118
Lady Death|14131|47
WATAMOTE ~No Matter How I Look at It, It’s You Guys Fault I’m Not Popular!~|14178|125
KIZNAIVER|14303|49
Kite Liberator|14352|37
The Master of Ragnarok & Blesser of Einherjar|14389|95
Love Live!|14484|63
Tono to Issho|14547|48
Domestic Girlfriend|14595|50
Record of Grancrest War|14645|72
JUNI TAISEN: ZODIAC WAR|14717|78
Love Stage!!|14795|52
KAGUYA-SAMA: LOVE IS WAR|14847|65
Leiji Matsumoto's OZMA|14912|39
Medaka Box|14951|34
TRINITY SEVEN|14985|92
Fire Force|15077|55
Eromanga Sensei|15132|47
Himouto! Umaru-chan|15179|58
Ace of the Diamond|15237|66
School-Live!|15303|95
BTOOOM!|15398|62
High School Prodigies Have It Easy Even In Another World|15460|108
Digimon Adventure tri.|15568|64
Kimi ni Todoke - From Me To You|15632|53
Tsukigakirei|15685|59
Masamune-kun's Revenge|15744|62
Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?|15806|76
Kotoura-san|15882|65
Sword Art Online Alternative: Gun Gale Online|15947|103
ZOMBIE LAND SAGA|16050|74
I Can't Understand What My Husband Is Saying|16124|100
My Mental Choices are Completely Interfering with my School Romantic Comedy|16224|130
Total Eclipse|16354|55
ASSASSINS PRIDE|16409|48
Os Cavaleiros do Zodíaco - Ômega|16457|52
Hundred|16509|72
My First Girlfriend is a Gal|16581|83
Laid-Back Camp|16664|64
NEW GAME!|16728|47
Restaurant to Another World|16775|90
Cells at Work!|16865|38
Knight’s & Magic|16903|76
Cowboy Bebop|16979|50
The World is Still Beautiful|17029|80
Wolf Girl and Black Prince|17109|81
Run with the Wind|17190|71
Angels of Death|17261|40
Mushishi|17301|81
Uta no Prince Sama|17382|64
Problem Children are Coming from Another World, aren't they?|17446|108
Alderamin on the Sky|17554|71
Arpeggio of Blue Steel|17625|79
Blue Spring Ride|17704|55
91 Days|17759|58
RADIANT|17817|59
Magical Warfare|17876|47
Fruits Basket|17923|79
Phantom Thief Reinya|18002|43
The Fruit of Grisaia|18045|62
GOD EATER|18107|58
Welcome to Demon School! Iruma-kun|18165|72
Kamigami no Asobi|18237|63
The Quintessential Quintuplets|18300|85
GIRLS und PANZER|18385|61
Maoyu|18446|50
WorldEnd: What do you do at the end of the world? Are you busy? Will you save us|18496|137
GLASSLIP|18633|55
Rozen Maiden Zurückspulen|18688|71
Witch Craft Works|18759|72
Flowers of Evil|18831|65
given|18896|44
KARAKAI JOZU NO TAKAGI-SAN|18940|74
Interviews with Monster Girls|19014|90
Sunday Without God|19104|102
The Lost Village|19206|73
Taboo Tattoo|19279|53
March comes in like a lion|19332|58
HINAMATSURI|19390|71
Haven’t You Heard? I’m Sakamoto|19461|82
The Ambition of Oda Nobuna|19543|71
BLEND-S|19614|46
Didn't I say to make my abilities average in the next life|19660|99
Tonari no Seki-kun: The Master of Killing Time|19759|101
Magical Girl Raising Project|19860|75
MEKAKUCITY ACTORS|19935|65
ORESUKI Are you the only one who loves me?|20000|67
Sound! Euphonium|20067|70
Ushio and Tora|20137|80
Flying Witch|20217|82
Campione!|20299|50
Brynhildr in the Darkness|20349|83
Blade and Soul|20432|58
Silver Spoon|20490|68
You and Me 2|20558|43
Kino no Tabi -the Beautiful World- the Animated Series|20601|137
Bakemonogatari|20738|90
DRAMAtical Murder|20828|65
Ace Attorney|20893|52
Yowamushi Pedal|20945|62
Biyou Shounen Celebrity|21007|54
If It's for My Daughter, I'd Even Defeat a Demon Lord|21061|93
Tsuredure Children|21154|81
Fuuka|21235|51
Phi Brain|21286|26
One-Punch Man|21312|53
World Break: Aria of Curse for a Holy Swordsman|21365|103
Non Non Biyori|21468|61
